REF,Company,Company_Location,Year_Reviewed,Bean_Origin,Cocoa_Percent,Characteristics,Rating,S_Bean_Origin,Number_Ingredients,Ingredient_B,Ingredient_C,Ingredient_L,Ingredient_S,Ingredient_S*,Ingredient_Sa,Ingredient_V
2454,5150,U.S.A.,2019,Tanzania,76.0,"rich cocoa, fatty, bready",3.25,Kokoa Kamili,3,1,1,0,1,0,0,0
2458,5150,U.S.A.,2019,Dominican Republic,76.0,"cocoa, vegetal, savory",3.5,Zorzal,3,1,1,0,1,0,0,0
2454,5150,U.S.A.,2019,Madagascar,76.0,"cocoa, blackberry, full body",3.75,Bejofo Estate,3,1,1,0,1,0,0,0
2542,5150,U.S.A.,2021,Fiji,68.0,"chewy, off, rubbery",3.0,Matasawalevu,3,1,1,0,1,0,0,0
2546,5150,U.S.A.,2021,Venezuela,72.0,"fatty, earthy, moss, nutty,chalky",3.0,Sur del Lago,3,1,1,0,1,0,0,0
2546,5150,U.S.A.,2021,Uganda,80.0,"mildly bitter, basic cocoa, fatty",3.25,Semuliki Forest,3,1,1,0,1,0,0,0
2542,5150,U.S.A.,2021,India,68.0,"milk brownie, macadamia,chewy",3.5,Anamalai,3,1,1,0,1,0,0,0
797,A. Morin,France,2012,Bolivia,70.0,"vegetal, nutty",3.5,Bolivia,4,1,1,1,1,0,0,0
797,A. Morin,France,2012,Peru,63.0,"fruity, melon, roasty",3.75,Peru,4,1,1,1,1,0,0,0
1011,A. Morin,France,2013,Panama,70.0,"brief fruit note, earthy, nutty",2.75,Panama,4,1,1,1,1,0,0,0
1015,A. Morin,France,2013,Colombia,70.0,"burnt rubber,alkalyzed notes",2.75,Colombie,4,1,1,1,1,0,0,0
1011,A. Morin,France,2013,Madagascar,70.0,"sticky, red fruit, sour",3.0,"Madagascar, Criollo",4,1,1,1,1,0,0,0
1015,A. Morin,France,2013,Burma,70.0,"sticky, smokey, grass",3.0,Birmanie,4,1,1,1,1,0,0,0
1011,A. Morin,France,2013,Brazil,70.0,mild tobacco,3.25,Brazil,4,1,1,1,1,0,0,0
1015,A. Morin,France,2013,Papua New Guinea,70.0,"mild fruit, strong smoke",3.25,Papua New Guinea,4,1,1,1,1,0,0,0
1019,A. Morin,France,2013,Peru,70.0,"green, nutty, cocoa",3.25,Piura,4,1,1,1,1,0,0,0
1019,A. Morin,France,2013,Peru,70.0,"cocoa,sour,intense tangerine",3.5,Chanchamayo Province,4,1,1,1,1,0,0,0
1011,A. Morin,France,2013,Ecuador,70.0,"sandy, nutty, cocoa, fig",3.75,Equateur,4,1,1,1,1,0,0,0
1015,A. Morin,France,2013,Venezuela,70.0,"oily, nut, caramel, raspberry",4.0,Chuao,4,1,1,1,1,0,0,0
1019,A. Morin,France,2013,Peru,63.0,"sweet, cocoa, tangerine",4.0,Chanchamayo Province,3,1,1,0,1,0,0,0
1315,A. Morin,France,2014,Venezuela,70.0,"harsh, leather, earthy",2.75,"Carenero, Criollo",4,1,1,1,1,0,0,0
1315,A. Morin,France,2014,Cuba,70.0,"sliglty dry, papaya",3.5,Cuba,4,1,1,1,1,0,0,0
1315,A. Morin,France,2014,Venezuela,70.0,"nutty, mild choco, roasty",3.5,"Sur del Lago, Criollo",4,1,1,1,1,0,0,0
1319,A. Morin,France,2014,Venezuela,70.0,"astringent, nutty, chocolatey",3.75,"Puerto Cabello, Criollo",4,1,1,1,1,0,0,0
